土地位置,用途,土地面积(平方米),建筑规模(平方米)/容积率,起始价(万元),竞得单位,竞得时间,成交价(万元),出让方式
南岸区茶园组团P分区P14-1/01部分宗地,二类工业用地,38607,≥0.7,2618,中建佰润商品混凝土重庆有限公司,2017年1月12日,2618,挂牌
九龙坡区大杨石组团W分区W01-3-2/05、W01-10/04（地下空间）号宗地,商业商务混合用地、公园绿地兼容娱乐康体及社会停车场,20115,≤62567(建筑面积),14072,重庆五洲世纪文化产业投资集团有限公司、重庆国洲文化,2016年12月30日,14072,挂牌
江北区观音桥组团F分区FJ03-1-1/04、FJ03-1-2/04号宗地,二类居住用地、商业用地、商务用地,27562,≤82686,32002,中海地产集团有限公司,2016年12月30日,57600,拍卖
九龙坡区西彭组团R分区R23-01/04号宗地,二类工业用地,180157,≥0.7,12163,隆鑫通用动力股份有限公司,2016年12月29日,12163,挂牌
渝北区唐家沱组团N分区N3-11-1/02、N3-14-1/02、N3-15-1/02号宗地,一类工业用地,206829,≥1.0,10962,OPPO（重庆）智能科技有限公司,2016年12月29日,10962,挂牌
两江新区龙兴组团F分区F1-1/03、F5-1/04号宗地,商业用地、商务用地、二类居住用地,172870,≤259304,34907,重庆国瑞控股集团有限公司、重庆市明发房地产开发有限,2016年12月29日,34907,挂牌
渝北区唐家沱组团N分区N3-12/02、N3-13/02、N3-16-1/02、N3-17-1/02号宗地,一类工业用地,395438,≥1.0,21354,OPPO(重庆)智能科技有限公司,2016年12月28日,21354,挂牌
大渡口区大渡口组团I分区I08-4号宗地,加油站用地、防护绿地,4090,按规划要求,2131,重庆中油诚源发展有限公司,2016年12月28日,2131,挂牌
北碚区蔡家组团N分区N19-4/02号宗地,一类居住用地,26450,≤26715,9946,万科（重庆）房地产有限公司,2016年12月28日,10040,拍卖
北碚区蔡家组团N分区N18-1/03、N18-4/02号宗地,一类居住用地,185594,≤187450,69598,万科（重庆）房地产有限公司,2016年12月28日,70200,拍卖
两江新区原北部新区D标准分区D68/02号宗地,二类工业用地,9966,≥0.7,584,重庆西奥车用材料有限公司,2016年12月27日,584,挂牌
渝北区唐家沱组团N分区N4-1-1/02 、N4-2-1/02、N4-5-1/02、N4-5-3/02、N4-6-1/02号宗地,一类工业用地,337713,≥1.0,18575,OPPO（重庆）智能科技有限公司,2016年12月27日,18575,挂牌
巴南区木洞组团C分区C28/03号宗地,二类工业用地,37579,≥0.7,1317,重庆参天科瑞制药有限公司,2016年12月27日,1317,挂牌
北碚区蔡家组团M分区M24/03、M23-02/03、P分区P02-1/02、P02-2/02号宗地,二类居住用地、一类居住用地,188419,≤246614,58204,重庆金科汇茂房地产开发有限公司,2016年12月27日,58204,拍卖
北碚区蔡家组团P分区P03-1/02号宗地,一类居住用地,87298,≤105129,27334,重庆龙湖地产发展有限公司、深圳联新投资管理有限公司,2016年12月27日,27334,拍卖
巴南区龙州湾组团M分区M11-1-3/02号宗地,二类居住用地、商业用地,34787,≤86968,17498,深圳市悦港电子商务有限公司、重庆佳兆业房地产开发有,2016年12月8日,17498,挂牌
两江新区龙兴组团V分区V12-1/01号宗地,其它服务设施用地(业余学校用地),97771,≤146657,4371,华夏航空（重庆）飞行训练中心有限公司,2016年12月7日,4371,挂牌
两江新区水土组团B标准分区B16-1/01号宗地,一类工业用地,71137,≥1.0,1793,重庆两江联创电子有限公司,2016年12月7日,1793,挂牌
两江新区龙兴组团L分区L4-1/01(部分一)号宗地,二类工业用地,46656,≤2.0,1876,重庆远海建筑装配技术开发有限公司 、远海建工（集团,2016年12月7日,1876,挂牌
两江新区鱼嘴组团J标准分区J36/01（部分一）号宗地,二类工业用地,32039,≥0.7,1984,重庆新致汽车配件有限责任公司,2016年12月7日,1984,挂牌
北碚区蔡家组团D分区D16-1/02号宗地,二类工业用地,11728,≥0.8,704,重庆市卓豪实业有限公司,2016年12月7日,704,挂牌
巴南区界石组团M分区M12-2/03、M16/03号宗地,商业用地、商务用地,74349,≤96653,15465,上海钜礐投资管理有限公司、首创钜大奥莱建设有限公司,2016年12月7日,15465,挂牌
巴南区李家沱-鱼洞组团Q标准分区Q19-2/02、Q21-1/01、Q21-2/02、Q21-3/02号宗地,二类居住用地,138364,≤308271（总建筑面积）,70320,荣盛房地产发展股份有限公司,2016年12月7日,88000,拍卖
巴南区李家沱组团L分区L1-1/04、L1-3/04、L2-1/03、L3-1/03、L4-1/03、L5-1/03、L6-1/03号宗地,文化设施用地、二类居住用地、商业用地,280043,≤539057,117232,荣盛房地产发展股份有限公司,2016年12月7日,117232,挂牌
沙坪坝区西永组团J标准分区J12-01/02号宗地,加油站用地,5508,按规划要求,2358,中国石油天然气股份有限公司重庆销售分公司,2016年12月7日,2358,挂牌
两江新区礼嘉组团A标准分区A29-3/05、A29-4/05、A37-2/05、A37-5-1/05、A37-6-1/05、A39-1/05、A49-5/05（西侧部分）号宗地,二类居住用地、商业用地、商务用地、娱乐康体用地,221130,≤601589,205177,重庆华宇集团有限公司,2016年12月23日,444000,拍卖
两江新区礼嘉组团A标准分区A37-4/05、A40-1/05、A40-4/05、A49-5/05（东侧部分）、A57-2/05、A58-1/05号宗地,二类居住用地、商业用地、商务用地、娱乐康体用地,221522,≤567430,206972,重庆龙湖地产发展有限公司,2016年12月23日,422000,拍卖
两江新区龙兴组团L分区L4-1/01号宗地,二类工业用地,28577,≥1.0,1149,重庆渝翔航空飞行培训有限责任公司,2016年12月20日,1149,挂牌
巴南区木洞麻柳功能区组团A分区A12-4/03号宗地,二类工业用地,66055,≥0.7,2248,重庆南松凯博生物制药有限公司,2016年12月20日,2248,挂牌
两江新区悦来组团C分区C39-3/05、C41/05、C45-1/05、C45-3/05、C46/05、C48/05、C50/05、C51/05、C57-1/05、C58-1/05号宗地,二类居住用地、服务设施用地、商业用地、娱乐康体用地,207435,≤318249,148317,重庆融创基业房地产开发有限公司,2016年12月20日,182000,拍卖
两江新区悦来组团C分区C27/05、C28-2/05、C29-2/05、C30-2/05、C31/05、C32/06、C37-1/07、C38/06、C39-1/06、C43-2/06、C70-1/05号宗地,二类居住用地、服务设施用地、商业用地,224265,≤553604,183078,北京城建重庆地产有限公司,2016年12月20日,298000,拍卖
沙坪坝区大杨石组团A分区A10/03号宗地,商业用地、商务用地,36628,≤100000,20100,大连万达商业地产股份有限公司,2016年12月20日,20100,挂牌
巴南区界石组团T分区T04-7/02号宗地,二类工业用地,36622,≥1.0,11872,重庆曙光宇特建设发展有限公司,2016年12月14日,11872,挂牌
